indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-06,3136.531,3120.09,3052.939,3129.539,3075.907,24674966600,2.66502786486e+11,-60.624,-0.019328
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-09,3075.907,3063.51,3049.111,3119.034,3095.124,20610838300,2.40719679061e+11,19.217,0.006248
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-10,3095.124,3090.49,3084.253,3142.099,3141.593,19381713900,2.25084911951e+11,46.469,0.015014
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-11,3141.593,3145.765,3139.052,3166.421,3157.704,17284009400,2.10862549367e+11,16.111,0.005128
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-12,3157.704,3157.959,3134.244,3181.766,3173.416,19459230900,2.29691579784e+11,15.712,0.004976
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-13,3173.416,3186.808,3182.794,3237.159,3203.827,26129043600,2.93017678939e+11,30.411,0.009583
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-16,3203.827,3206.137,3195.884,3228.846,3222.363,22379742900,2.65950695641e+11,18.536,0.005786
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-17,3222.363,3230.884,3230.772,3255.725,3246.906,22833262400,2.6334005408e+11,24.543,0.007616
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-25,3246.906,3256.479,3215.552,3257.223,3228.843,23334809400,2.65143351568e+11,-18.063,-0.005563
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-26,3228.843,3222.151,3202.188,3300.616,3298.359,30126387500,3.34347476047e+11,69.516,0.02153
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-02-27,3298.359,3296.831,3291.007,3324.546,3310.303,29916371700,3.35019568776e+11,11.944,0.003621
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-02,3310.303,3332.721,3298.669,3336.76,3336.285,34644567100,4.10259559474e+11,25.982,0.007849
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-03,3336.285,3317.695,3260.429,3317.695,3263.052,38204461900,4.41593480102e+11,-73.233,-0.02195
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-04,3263.052,3264.182,3250.484,3286.588,3279.533,29363952200,3.4678976932e+11,16.481,0.005051
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-05,3279.533,3264.085,3221.666,3266.638,3248.476,32066358500,3.73579996448e+11,-31.057,-0.00947
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-06,3248.476,3248.036,3234.533,3266.933,3241.187,28291579100,3.2834415293e+11,-7.289,-0.002244
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-09,3241.187,3224.314,3198.37,3307.702,3302.408,32149544000,3.59927522111e+11,61.221,0.018888
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-10,3302.408,3289.085,3277.095,3309.915,3286.068,28581757600,3.29955974292e+11,-16.34,-0.004948
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-11,3286.068,3289.594,3278.471,3325.054,3290.9,28298553500,3.27573066473e+11,4.832,0.00147
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-12,3290.9,3314.813,3300.488,3360.054,3349.323,35729510500,4.07192390375e+11,58.423,0.017753
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-13,3349.323,3359.488,3352.15,3391.255,3372.911,32841015400,3.74041421892e+11,23.588,0.007043
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-16,3372.911,3391.158,3377.087,3449.305,3449.305,39913243000,4.79355307996e+11,76.394,0.022649
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-17,3449.305,3469.603,3459.694,3504.123,3502.847,52093950600,6.01500660539e+11,53.542,0.015523
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-18,3502.847,3510.501,3503.853,3577.662,3577.301,54521714400,6.17366988734e+11,74.454,0.021255
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-19,3577.301,3576.019,3546.844,3600.684,3582.271,53734661400,6.12249692064e+11,4.97,0.001389
