ticker,20080530Value,20080530PB,20090601Value,20090601PB,20100601Value,20100601PB,20110601Value,20110601PB,20120601Value,20120601PB,20130531Value,20130531PB,20140530Value,20140530PB,20150601Value,20150601PB
600872,3946975188.95,2.6321,8690587572.0,5.6401,6380339709.11,3.8613,5680023193.22,3.28,4070816061.34,2.1912,6189870997.38,3.1125,8476219744.16,3.8322,17310926356.0,7.1893
600874,15770874151.5,5.3643,9562430481.0,3.04,9105717383.4,2.7248,8991539109.0,2.5679,8163746619.6,2.2545,13401674957.7,3.575,10818391499.4,2.7584,23306639772.0,5.6272
600875,27197930000.0,19.6893,41083560000.0,16.0435,47251018800.0,5.1384,50477233400.0,4.3342,44124997200.0,3.0344,26030141400.0,1.6116,23244776000.0,1.2816,67770111600.0,2.9562
600879,9575688189.76,3.6736,7196635223.36,2.5356,9026883925.92,2.9732,9067435965.12,2.9124,7039834005.12,2.1349,8305057628.16,2.4391,10873557407.0,2.178,25468656500.0,4.848
600880,5579097854.12,6.0894,6706388482.76,6.1518,11448095231.4,8.3635,8764852584.04,5.1726,6706827222.36,3.127,9966043821.99,4.2502,11622120138.0,3.3842,18389845922.0,5.0281
600881,15233645742.3,2.9797,14021017229.2,2.1863,12846283353.2,1.8102,14324174358.5,1.9447,12543126224.0,1.5825,9265239763.62,1.1508,6915772011.7,0.8536,41859127380.0,5.1916
600884,4170211207.05,2.6439,6355977081.09,3.9691,7880261177.46,2.2815,7021567441.23,2.0557,5764341205.41,1.9739,5764341205.41,1.7807,6146439375.12,1.933,14881284004.0,3.2699
600895,13688432940.0,5.2668,22951579131.0,4.3266,14681576934.0,2.4057,14495734188.0,2.2842,12900583951.5,2.0447,10515602044.5,1.598,10128429657.0,1.4515,47730613472.0,6.4388
600900,1.37887051945e+11,3.4805,1.27910241361e+11,3.3426,1.3409e+11,2.1738,1.221e+11,1.8223,1.1352e+11,1.6445,1.2474e+11,1.6524,99495000000.0,1.2669,2.2869e+11,2.6015
600971,6974570850.54,5.867,5559474879.53,3.2773,10372260302.3,3.1335,16754063761.3,2.8761,15990065079.3,2.4315,10760043793.2,1.5294,5430022100.1,0.7817,10620043542.0,1.5644
600983,2923740000.0,4.7773,4272390000.0,6.6501,6526800000.0,7.4418,5903424000.0,5.1816,4789872000.0,3.4036,5306688000.0,3.1321,7203456000.0,3.523,12715223010.0,3.017
000338,31088223589.9,4.3827,29389851696.2,3.4839,47650213067.6,3.5595,77739823137.6,3.8256,55630790710.7,2.329,46064094082.6,1.8008,34827973911.4,1.2094,64397765437.0,2.0386
000423,15189144806.0,11.7663,8972070707.82,6.0573,23714820931.6,9.2762,28227569536.9,9.3706,26265504925.9,6.9928,28829269351.0,6.227,20595138200.1,3.7932,40418528700.0,6.2678
000612,12729467960.3,6.7965,5954183429.2,3.3232,9219380793.6,4.2538,8369469126.69,3.9874,6136650340.74,2.4668,6793173748.62,2.6884,7302197915.52,1.6343,14674704120.0,3.085
000718,14410773114.0,16.2271,20999479115.2,10.2305,14302347931.2,4.6849,13382911278.5,3.5517,16529427818.5,3.7915,14915305695.3,2.8222,8458817202.54,1.9493,44255549550.0,9.0437
000876,8084093290.0,3.1993,7044890034.0,2.5727,7075158090.0,1.9727,16006504714.2,3.9116,27976480721.0,2.7576,21651363340.6,1.8207,20956295496.6,1.5775,48559933090.0,2.6796
000886,4281626539.0,1.9218,3905871785.0,1.7289,5962634649.0,2.5736,5092465745.0,2.0292,3500452182.0,1.374,3589446729.0,1.3581,3589446729.0,1.2989,8721465606.0,3.1569
000895,23779239876.0,10.282,20397788334.0,7.9508,30590622552.0,9.6789,37680762882.0,10.2201,36377873847.0,9.3989,90289733721.4,7.1914,75413823413.0,6.1358,86086629616.0,5.2262
000939,4922892800.0,3.4384,3448972800.0,2.2362,8784563200.0,4.8361,11850316800.0,4.8963,9282158592.0,3.6137,6339035136.0,2.5746,5395726336.0,2.1321,19139735552.0,6.7754
000951,10469505750.0,4.82,8820518265.0,3.4632,7734206220.0,2.5532,7738400475.0,2.1616,5767100625.0,1.535,4903084095.0,1.3117,5007940470.0,1.1981,9781002660.0,2.1878
002056,5012980000.0,2.323,4791094000.0,2.1068,7293475000.0,2.999,11414120000.0,3.8985,7876953000.0,2.6979,6475784000.0,2.386,7396200000.0,2.4898,16834573000.0,5.178
002064,4751604000.0,3.9132,3655080000.0,2.8513,6571760000.0,4.5116,6837584000.0,3.9443,4356560000.0,2.7039,5508464000.0,3.287,6342856000.0,3.2479,18243584000.0,5.6367
002083,6728922952.26,2.6687,9938534737.02,3.8894,9919765077.46,3.8768,8089723270.36,2.9132,4823802506.92,1.6635,3847780209.8,1.37,3822680021.05,1.3412,8208320000.0,2.8868
002092,8487756600.0,3.553,7124132200.0,2.8806,16068412800.0,6.1926,14775552000.0,2.1919,10516037400.0,1.4583,8265074400.0,1.2005,8007777089.28,0.9353,19518956964.0,2.2666
002129,5944598142.93,5.1998,4939346889.84,3.2817,5938804178.4,4.2858,12944661790.5,8.0045,10436361976.9,6.1108,15863091692.2,4.5886,16513434509.5,4.6736,68727067786.0,10.443
600017,9210600000.0,3.5503,7727429205.2,2.8115,8909602036.0,2.0912,11443247721.0,2.4329,9534527052.8,1.4418,8458048192.0,0.9566,7658378181.12,0.7934,24020856959.0,2.384
600089,21549961855.6,7.9948,37157747446.8,6.6379,30555387291.0,4.2609,36026075657.7,2.9734,20583722350.4,1.5618,22481325435.2,1.614,28113307315.7,1.5123,57415168915.9,2.8647
600109,25311126947.8,9.4278,19469712943.7,8.7706,14283457530.7,5.3071,14293459952.0,4.5125,15413731130.8,4.6503,20278103570.3,3.1629,25286161057.1,3.7102,85438150225.0,8.2676
600111,15880535160.0,9.6283,15452640720.0,9.9109,34070085600.0,18.6682,85328610120.0,29.3678,1.1061474948e+11,16.1679,67066398360.0,9.6276,46721228760.0,5.9214,86684954760.0,10.3439
600158,19373040760.3,16.6422,7601653931.08,6.6989,6878452182.88,6.1492,5407941961.54,4.5233,6420826188.53,5.0728,5408343740.93,4.0555,8732661110.55,6.0113,29446365460.0,19.3774
600219,19109342636.4,2.4116,13240867078.5,1.5632,17658830539.3,1.2447,17968295258.5,1.2066,14486817167.5,0.9239,12069206098.6,0.7163,9458094874.59,0.5428,34645953368.0,1.4747
600298,3921730000.0,4.7768,4904198000.0,5.4695,9849106000.0,9.2896,10420885946.9,7.0203,8689109457.72,3.4701,5544416581.14,2.0416,4733520933.72,1.7077,11092130260.0,3.8912
600333,5279786603.52,4.5111,3258329844.48,2.7645,4347516591.36,3.3813,4476742137.6,3.3037,3401400984.96,2.4746,5004907185.6,2.677,3733819646.4,1.971,6339549006.0,3.3262
600380,10572526620.0,3.6294,7136181000.0,2.4885,12239099352.0,3.6919,12594810528.0,3.1471,8625764277.36,2.259,8192930227.6,2.0557,8084721715.16,1.9237,34812224468.0,7.5726
600406,6725932200.0,7.2135,9488232000.0,9.6063,23373698400.0,22.3532,35060978680.0,15.6177,30376378173.4,10.1257,37088171276.0,9.3061,31965026099.2,5.1092,70536803832.0,9.8562
600528,13643520000.0,3.6654,14621184000.0,3.6956,12417792000.0,2.9298,13030656000.0,2.564,11542272000.0,2.1703,9659904000.0,1.674,6814464000.0,1.1315,32583936000.0,5.3084
600611,18219506868.0,4.6282,17352661818.1,4.2214,13286370492.9,2.4759,11221703192.1,2.0245,9503773911.27,1.7797,8573885584.96,1.5654,9960837664.88,1.7809,37384662668.0,5.6008
600618,7389395846.64,2.6087,6822759858.4,2.5371,7054039853.6,3.0438,20757379569.2,7.9523,12778219734.8,4.6186,9181815809.44,3.2442,9251199808.0,3.2364,17010644000.0,7.8298
600651,4574366357.71,5.4129,4165640844.72,4.7943,6928737288.75,7.3004,6355961672.88,5.6681,4982531970.31,4.0008,4707846031.07,4.0641,4596986234.42,3.889,19477799400.0,6.5878
